spanish,english,context
ECA,ACE,Chemistry > Organic chemistry
ECA, angiotensin converting enzyme,Chemistry > Organic chemistry
ECA,MAE,Economic Sciences > Econometrics
ECA, mean absolute error,Economic Sciences > Econometrics
ecuación de Bernoulli,Bernoulli´s equation,Physics > Fluids (physics of)
ecuación de Bernoulli,Bernoulli equation,Physics > Mechanics
ecuación de Bernoulli,Bernoulli differential equation,Mathematics > Analysis and functional analysis
ecuación de Bernoulli, Bernoulli equation,Mathematics > Analysis and functional analysis
ecuación de continuidad,continuity equation,Technological Sciences > Environmental technology and engineering
ecuación de continuidad,continuity equation,Physics > Fluids (physics of)
ecuación de continuidad,balance equation,Physics > Thermodynamics
ecuación de continuidad,continuity equation,Technological Sciences > Electrical technology and engineering
ecuación de continuidad,continuity equation,Physics > Mechanics
ecuación de continuidad,continuity equation,Physics > General Physics specialities
ecuación de continuidad,continuity equation,Physics > Theoretical physics
ecuación de Maxwell,Maxwell's equations,Physics > Optics
ecuación de Maxwell,electromagnetic field equations,Physics > Electro-magnetism
ecuación de Maxwell, Maxwell equations,Physics > Electro-magnetism
ecuación de Maxwell, Maxwell field equations,Physics > Electro-magnetism
ecuación de Maxwell, Maxwell's equation,Physics > Electro-magnetism
ecuación homogénea,homogeneus equation,Physics > General Physics specialities
ecuación homogénea,homogeneous differential equation,Mathematics > Analysis and functional analysis
ecuaciones de Maxwell,Maxwell's equations,Technological Sciences > Electrical technology and engineering
ecuaciones de Maxwell,electromagnetic field equations,Physics > Electro-magnetism
ecuaciones de Maxwell, Maxwell equations,Physics > Electro-magnetism
ecuaciones de Maxwell, Maxwell field equations,Physics > Electro-magnetism
ecuaciones de Maxwell, Maxwell's equation,Physics > Electro-magnetism
ecuaciones de Maxwell,Maxwell equations,Physics > Theoretical physics
efecto,effect,Technological Sciences > Environmental technology and engineering
efecto,action,Medical Sciences > Pharmaceutical Technology
efecto, effect,Medical Sciences > Pharmaceutical Technology
efecto,effect,Medical Sciences > Public health
efecto,effect,Medical Sciences > Pharmacology
eficacia,efficiency,Medical Sciences > Pharmaceutical Technology
eficacia,efficacy,Medical Sciences > Pharmacology
eficacia,efficiency,Chemistry > Analytical chemistry
eficacia,effectiveness,Life sciences > Biochemistry and Molecular Biology
eficacia, efficacy,Life sciences > Biochemistry and Molecular Biology
eficacia,efficacy,Technological Sciences > Environmental technology and engineering
eficiencia,efficiency,Technological Sciences > Environmental technology and engineering
eficiencia, throughput,Technological Sciences > Environmental technology and engineering
eficiencia, yield,Technological Sciences > Environmental technology and engineering
eficiencia,efficiency,Life sciences > Animal Biology
eficiencia,efficiency,Mathematics > Statistics
eficiencia,efficiency,Technological Sciences > Instrumentation technology
eficiencia,efficiency,Economic Sciences > Organization and management of enterprises
eficiencia,efficiency,Physics > Fluids (physics of)
eficiencia,efficiency,Physics > Electro-magnetism
eficiencia,efficiency,Technological Sciences > Projects
eficiencia,efficiency,Technological Sciences > Telecommunications technology
eficiencia,efficiency,Economic Sciences > General economics
eficiencia,efficiency,Medical Sciences > Pharmacology
eficiencia,eficiency,Economic Sciences > Econometrics
eficiencia,efficiency,Technological Sciences > Computer technology
eje,axis,Mathematics > Algebra
eje,axis,Technological Sciences > Projects
eje,axis,Physics > Electro-magnetism
eje,axis,Physics > Aplied Physics
eje,axis,Mathematics > Analysis and functional analysis
eje,axis,Technological Sciences > Environmental technology and engineering
eje,axis,Physics > General Physics specialities
eje,shaft,Technological Sciences > Electrical technology and engineering
eje,axis,Earth and Space Sciences > Geology
eje,axle,Technological Sciences > Mechanical engineering and technology
eje, shaft,Technological Sciences > Mechanical engineering and technology
eje,axis,Technological Sciences > Construction technology
eje,axis,Medical Sciences > Pharmaceutical Technology
eje,axis,Technological Sciences > Industrial technology
eje de revolución,axis of revolution,Technological Sciences > Construction technology
eje de revolución,axis of revolution,Technological Sciences > Mechanical engineering and technology
eje de revolución, axis of rotation,Technological Sciences > Mechanical engineering and technology
eje de revolución,axis of rotation,Technological Sciences > Industrial technology
eje de revolución, rotation axis,Technological Sciences > Industrial technology
eje de rotación,axis of revolution,Technological Sciences > Mechanical engineering and technology
eje de rotación, axis of rotation,Technological Sciences > Mechanical engineering and technology
eje de rotación,axis of rotation,Physics > Mechanics
eje de rotación, rotation axis,Physics > Mechanics
eje de rotación,axis of rotation,Physics > Aplied Physics
eje de rotación, rotation axis,Physics > Aplied Physics
eje de rotación,axis of rotation,Physics > Electro-magnetism
eje de rotación, rotation axis,Physics > Electro-magnetism
eje de rotación,axis of rotation,Life sciences > Biochemistry and Molecular Biology
eje de rotación,rotation axis,Technological Sciences > Environmental technology and engineering
eje de transmisión,dumb-bell shaft,Technological Sciences > Electrical technology and engineering
eje de transmisión, spacer shaft,Technological Sciences > Electrical technology and engineering
eje de transmisión,drive shaft,Technological Sciences > Mechanical engineering and technology
eje de transmisión,transmission axis,Physics > Electro-magnetism
ejecución,execution,Technological Sciences > Projects
ejecución,execution,Technological Sciences > Computer technology
ejecución, program execution,Technological Sciences > Computer technology
ejercicio físico,physical exercise,Life sciences > Human physiology
ejercicio físico,exercise,Medical Sciences > Pharmacology
ejercicio físico, physical exercise,Medical Sciences > Pharmacology
ejercicio físico,exercise,Life sciences > Animal Biology
elemento,element,Mathematics > Algebra
elemento,element,Technological Sciences > Computer technology
elemento,element,Technological Sciences > Construction technology
